max_docs,chunk_size,workers,elapsed_seconds,processed_docs,speedup_vs_first_chunk
100,500,1,6.862570042023435,100,1.0
100,1000,1,3.0630968749755993,100,2.2404025475289946
100,2000,1,3.014234291971661,100,2.2767208442627442
500,500,1,2.9973472920246422,500,1.0
500,1000,1,3.035443332977593,500,0.987449595734808
500,2000,1,2.9598574170377105,500,1.0126661084318218
1000,500,1,2.976960957981646,1000,1.0
1000,1000,1,2.963626875076443,1000,1.0044992448331942
1000,2000,1,2.9902440829901025,1000,0.9955578459016048
