max_docs,chunk_size,workers,elapsed_seconds,processed_docs,speedup_vs_first_chunk
100,500,1,7.288356208940968,100,1.0
100,1000,1,3.737155833048746,100,1.9502414495237084
100,2000,1,3.6782108329935,100,1.981494954983144
500,500,1,3.726933083962649,500,1.0
500,1000,1,3.6769260419532657,500,1.0136002305835934
500,2000,1,3.6758508749771863,500,1.0138967033002337
1000,500,1,3.6878357919631526,1000,1.0
1000,1000,1,3.6790857079904526,1000,1.0023783311037566
1000,2000,1,3.693129791994579,1000,0.9985665274903411
